Score,Url,Channel
1.0992,https://www.youtube.com/watch?v=OBZu4T-01Jg,Dreaming Spanish
1.1014,https://www.youtube.com/watch?v=On4Uroj5xCY,Dreaming Spanish
1.1048,https://www.youtube.com/watch?v=IQzfpCYPYX0,Dreaming Spanish
1.1085,https://www.youtube.com/watch?v=v3VCN4z8yDg,Dreaming Spanish
1.1157,https://www.youtube.com/watch?v=nC2tR9PzBqM,Dreaming Spanish
1.1197,https://www.youtube.com/watch?v=4csjX2eFB0U,Dreaming Spanish
1.1201,https://www.youtube.com/watch?v=gk7QS1zFMdg,Dreaming Spanish
1.1203,https://www.youtube.com/watch?v=KbXqpm_IJG8,Dreaming Spanish
1.1244,https://www.youtube.com/watch?v=lHXVYe-zu6M,Dreaming Spanish
1.1245,https://www.youtube.com/watch?v=j6biCVAm1EM,Dreaming Spanish
1.1254,https://www.youtube.com/watch?v=3xgsEGaTGcQ,Dreaming Spanish
1.1275,https://www.youtube.com/watch?v=wM6cvUcnvTk,Dreaming Spanish
1.1276,https://www.youtube.com/watch?v=HMpWwrkQVqQ,Dreaming Spanish
1.1276,https://www.youtube.com/watch?v=JsC5k-VZIJk,Dreaming Spanish
1.1280,https://www.youtube.com/watch?v=sesfHHvNgPw,Dreaming Spanish
1.1285,https://www.youtube.com/watch?v=Zb8yLOASZtI,Dreaming Spanish
1.1292,https://www.youtube.com/watch?v=SIe9pBOtWkk,Dreaming Spanish
1.1295,https://www.youtube.com/watch?v=Ds3rXBWeU2s,Dreaming Spanish
1.1329,https://www.youtube.com/watch?v=weyBzvE-0ec,Dreaming Spanish
1.1339,https://www.youtube.com/watch?v=BwYb0WiVfEs,Dreaming Spanish
1.1387,https://www.youtube.com/watch?v=ULUlPBcgABY,Dreaming Spanish
1.1391,https://www.youtube.com/watch?v=ExLaVKbi2pg,Dreaming Spanish
1.1400,https://www.youtube.com/watch?v=3Aef1ER6vXU,Dreaming Spanish
1.1404,https://www.youtube.com/watch?v=QAVrAh3fFxo,Dreaming Spanish
1.1420,https://www.youtube.com/watch?v=b3gaX0-ZMmk,Dreaming Spanish
1.1434,https://www.youtube.com/watch?v=7FY4J4XOfck,Dreaming Spanish
1.1442,https://www.youtube.com/watch?v=mZYkySWI968,Dreaming Spanish
1.1445,https://www.youtube.com/watch?v=uezdUmrAxzw,Dreaming Spanish
1.1452,https://www.youtube.com/watch?v=ZJLGF13GhCw,Dreaming Spanish
1.1463,https://www.youtube.com/watch?v=DQg8uZRSgJ0,Dreaming Spanish
1.1473,https://www.youtube.com/watch?v=Y8pSVHVBJf8,Dreaming Spanish
1.1474,https://www.youtube.com/watch?v=1wFfvpxq21Y,Dreaming Spanish
1.1481,https://www.youtube.com/watch?v=-hD9Z3T10XQ,Dreaming Spanish
1.1489,https://www.youtube.com/watch?v=eZYbz1K-grU,Dreaming Spanish
1.1506,https://www.youtube.com/watch?v=z1znEKCEWdM,Dreaming Spanish
1.1511,https://www.youtube.com/watch?v=Ia0XJaF88f4,Dreaming Spanish
1.1516,https://www.youtube.com/watch?v=o6lGPH_AIhE,Dreaming Spanish
1.1520,https://www.youtube.com/watch?v=62GyVAK5jIY,Dreaming Spanish
1.1550,https://www.youtube.com/watch?v=epELAYk5CoA,Dreaming Spanish
1.1557,https://www.youtube.com/watch?v=o3-ZqAC3A7E,Dreaming Spanish
1.1584,https://www.youtube.com/watch?v=gyUQXGp-epE,Dreaming Spanish
1.1593,https://www.youtube.com/watch?v=z_4eRACVbII,Dreaming Spanish
1.1603,https://www.youtube.com/watch?v=tq7jqOM5vhM,Dreaming Spanish
1.1620,https://www.youtube.com/watch?v=NNwIcU2a2sE,Dreaming Spanish
1.1653,https://www.youtube.com/watch?v=IVk0f2gQBz8,Dreaming Spanish
1.1687,https://www.youtube.com/watch?v=8AzrdS5LguY,Dreaming Spanish
1.1687,https://www.youtube.com/watch?v=zlqBocgmnTE,Dreaming Spanish
1.1693,https://www.youtube.com/watch?v=0KbehcuArzs,Dreaming Spanish
1.1712,https://www.youtube.com/watch?v=9OLcKaTtI_s,Dreaming Spanish
1.1738,https://www.youtube.com/watch?v=kr2kcj6vKZ8,Dreaming Spanish
1.1753,https://www.youtube.com/watch?v=eLUxefMdi9E,Dreaming Spanish
1.1763,https://www.youtube.com/watch?v=mALTWDUenkk,Dreaming Spanish
